title,body,labels,status,milestone
B07 — Polymorphic File Explorer Component,"**Backlog ID**: B07

**Issue #7: Polymorphic File Explorer Component**

**Description**
Build the UI explorer that renders folders/files using the common content interface. Include grid/list views, breadcrumbs, and keyboard navigation.

**Learning Goals**
- Polymorphism in UI rendering and events.  
- Accessibility-first navigation.  
- Separation of presentation vs services.

**Acceptance Criteria**
- [ ] `FileExplorer.js` renders polymorphic cards/rows using `getPreviewInfo()`.  
- [ ] Breadcrumbs, back/forward keyboard shortcuts.  
- [ ] A11y: roles, labels, tab order, `aria-live` for updates.  
- [ ] Works for public and (later) private content toggle.

**Subtasks**
- [ ] Grid and list renderer strategies.  
- [ ] Empty/error states.

**Depends On**: #5, #6, #12

**Suggested Branch**: `feature/issue-7-file-explorer-ui`","type-feature, learning-oop, component-ui, priority-high, backlog-import-2025-08",open,Milestone 1
B08 — Core Frontend Components (Vanilla JS),"**Backlog ID**: B08

**Issue #8: Core Frontend Components (Vanilla JS)**

**Description**
Implement shared UI building blocks: `Modal` (focus trap), `AuthComponent` (login/logout), `GraphUI` (placeholder), `SearchUI` (presentation), plus utilities.

**Learning Goals**
- Modular components with no business logic.  
- BEM CSS, responsive design.  
- Keyboard and screen-reader support.

**Acceptance Criteria**
- [ ] `Modal.js` with focus trap and ESC close.  
- [ ] `AuthComponent.js` basic login form (no token storage yet).  
- [ ] `SearchUI.js` input + results container (no engine).  
- [ ] CSS in `styles/components.css` follows BEM.

**Subtasks**
- [ ] Utility: `dom.js` for qs/qsa, event helpers.  
- [ ] `responsive.css` breakpoints.

**Depends On**: #5

**Suggested Branch**: `feature/issue-8-core-ui`","type-feature, learning-frontend, component-ui, priority-critical, backlog-import-2025-08",open,Milestone 1
B09 — Search Engine with Strategy Pattern,"**Backlog ID**: B09

**Issue #9: Search Engine with Strategy Pattern**

**Description**
Implement `SearchEngine` with pluggable strategies: exact, fuzzy, and tag-based. Debounce user input; rank results.

**Learning Goals**
- Strategy pattern for algorithm swap.  
- Relevance scoring and ranking.  
- Performance considerations in the browser.

**Acceptance Criteria**
- [ ] `SearchEngine` interface + strategies (`ExactMatch`, `Fuzzy`, `TagFilter`).  
- [ ] Debounced search; cancellation of stale requests.  
- [ ] Deterministic ranking; tie-break by recency or path length.  
- [ ] Unit perf test: large index search < 100ms on mid-tier laptop.

**Subtasks**
- [ ] Add `SearchService` wrapper used by `SearchUI`.  
- [ ] Telemetry hooks (console or simple counter) for tuning.

**Depends On**: #10, #12

**Suggested Branch**: `feature/issue-9-search-engine`","type-feature, learning-patterns, component-metadata, priority-critical, backlog-import-2025-08",open,Milestone 2
B10 — Metadata Aggregation & Indexing System,"**Backlog ID**: B10

**Issue #10: Metadata Aggregation & Indexing System**

**Description**
Aggregate all `.metadata.json` across content folders; build an in-memory index suitable for search and graph building. Cache in `localStorage` with versioning.

**Learning Goals**
- Async file loading and error isolation.  
- Index data structures and normalization.  
- Client-side caching/version invalidation.

**Acceptance Criteria**
- [ ] `MetadataService` that loads, validates, and normalizes metadata.  
- [ ] Incremental update support (load-on-demand).  
- [ ] Cache with `indexVersion`; purge on schema change.  
- [ ] Tests for corrupted/missing metadata files.

**Subtasks**
- [ ] Add `scripts/generate_metadata.py` (#25) integration note.  
- [ ] Document index shape in `docs/metadata_schema.md`.

**Depends On**: #2

**Suggested Branch**: `feature/issue-10-indexer`","type-feature, learning-frontend, component-metadata, priority-high, backlog-import-2025-08",open,Milestone 2
B11 — Advanced Filtering & Tagging System,"**Backlog ID**: B11

**Issue #11: Advanced Filtering & Tagging System**

**Description**
Provide UI and logic for filtering by tags, type, difficulty, with AND/OR combinations and URL state persistence.

**Learning Goals**
- UI state modeling and observer pattern.  
- URL routing and deep-linking of filter state.  
- Composability of filters.

**Acceptance Criteria**
- [ ] Tag cloud generated from index with counts.  
- [ ] Multi-criteria filter with AND/OR, clear all, and chips UI.  
- [ ] URL `#search?tags=...&type=...` reflects state.  
- [ ] Tests for filter accuracy and edge cases.

**Subtasks**
- [ ] Debounced filter application.  
- [ ] Keyboard-accessible chips.

**Depends On**: #10

**Suggested Branch**: `feature/issue-11-filtering`","type-feature, learning-frontend, component-metadata, priority-medium, backlog-import-2025-08",open,Milestone 2
B12 — Frontend Services Layer (Vanilla JS),"**Backlog ID**: B12

**Issue #12: Frontend Services Layer (Vanilla JS)**

**Description**
Implement stateless services: `FileSystemService`, `AuthService`, `SearchService`, `GraphService`, `MetadataService`. No DOM. Promise-based APIs with consistent error model.

**Learning Goals**
- Separation of concerns and testability.  
- Async/await API design.  
- Error normalization across services.

**Acceptance Criteria**
- [ ] Service contracts documented; mockable in tests.  
- [ ] All services return `{ok, data|error}` shapes.  
- [ ] Unit tests cover success/failure paths.  
- [ ] No direct DOM access from services.

**Subtasks**
- [ ] Common error types and mappers.  
- [ ] Minimal retry for transient fetch failures.

**Depends On**: #2

**Suggested Branch**: `feature/issue-12-services-layer`","type-feature, component-ui, learning-frontend, priority-high, backlog-import-2025-08",open,Milestone 2
B13 — Graph Data Structure & Connection Management,"**Backlog ID**: B13

**Issue #13: Graph Data Structure & Connection Management**

**Description**
Build graph nodes/edges from metadata connections with weights and utilities for traversal (BFS/DFS), shortest path, and clustering.

**Learning Goals**
- Graph data structures and traversal algorithms.  
- Weighting/normalization for recommendations.  
- Performance tuning for graph ops.

**Acceptance Criteria**
- [ ] `GraphService` exposes `neighbors()`, `shortestPath()`, `cluster()`.  
- [ ] Connection strength computed and capped 0..1.  
- [ ] Test suite with known graphs and expected paths/clusters.

**Subtasks**
- [ ] Defensive handling for missing nodes.  
- [ ] Serialization format documented.

**Depends On**: #10

**Suggested Branch**: `feature/issue-13-graph-data`","type-feature, learning-frontend, component-graph, priority-critical, backlog-import-2025-08",open,Milestone 2
B14 — Interactive Graph Visualization Component,"**Backlog ID**: B14

**Issue #14: Interactive Graph Visualization Component**

**Description**
Render graph with Canvas or SVG, supporting pan/zoom, node drag, highlighting neighbors, and responsive layouts.

**Learning Goals**
- Canvas/SVG rendering pipelines.  
- Event handling for complex interactions.  
- Layout algorithms (force-directed or simple radial).

**Acceptance Criteria**
- [ ] Smooth pan/zoom at ≥ 50 FPS on mid-tier laptop.  
- [ ] Hover/selection highlights neighbors and path to selection.  
- [ ] Mobile gestures for pan/zoom.  
- [ ] Resize observer for responsiveness.

**Subtasks**
- [ ] Option to throttle redraw with `requestAnimationFrame`.  
- [ ] Accessibility: text labels with `aria-hidden` mirroring list.

**Depends On**: #13

**Suggested Branch**: `feature/issue-14-graph-viz`","type-feature, learning-frontend, component-graph, priority-high, backlog-import-2025-08",open,Milestone 2
B15 — Graph‑Based Navigation & Discovery,"**Backlog ID**: B15

**Issue #15: Graph‑Based Navigation & Discovery**

**Description**
Use the graph to surface related content, breadcrumb-like path trails, and suggested learning paths by difficulty.

**Learning Goals**
- Intro to recommendation heuristics.  
- Contextual navigation design.  
- Progressive disclosure UX.

**Acceptance Criteria**
- [ ] “Related content” sidebar with ranked items.  
- [ ] Path trail (topic → … → topic) from current node.  
- [ ] Basic learning path generator (beginner→advanced).  
- [ ] Tests validating suggestion rules.

**Subtasks**
- [ ] Toggle suggestions by tag/topic.  
- [ ] Cache last suggestions.

**Depends On**: #14

**Suggested Branch**: `feature/issue-15-graph-discovery`","type-feature, learning-frontend, component-graph, priority-medium, backlog-import-2025-08",open,Milestone 2
B16 — Minimal Backend Authentication System,"**Backlog ID**: B16

**Issue #16: Minimal Backend Authentication System**

**Description**
Finalize JWT login, validate, and logout flows with password hashing and environment‑based secrets. No user DB; single admin secret for MVP.

**Learning Goals**
- Password hashing & verification.  
- Token TTL/refresh strategies.  
- Secure error messages and rate limiting (basic).

**Acceptance Criteria**
- [ ] `/api/auth/login`, `/api/auth/validate`, `/api/auth/logout` (if applicable).  
- [ ] Hashed password via env var (bcrypt/werkzeug).  
- [ ] JWT expiration (24h default) and clock skew handling.  
- [ ] Tests: invalid/expired tokens, brute‑force throttle (simple counter).

**Subtasks**
- [ ] Add security headers middleware.  
- [ ] Error audit: no sensitive info in responses.

**Depends On**: #3

**Suggested Branch**: `feature/issue-16-auth-system`","type-feature, learning-security, component-auth, priority-critical, backlog-import-2025-08",open,Milestone 3
B17 — Private Content Access Control,"**Backlog ID**: B17

**Issue #17: Private Content Access Control**

**Description**
Guard private routes in UI and fetch flows; show authenticated-only sections and restrict navigation.

**Learning Goals**
- Conditional rendering and guards.  
- Security UX (clear states, no leaks).  
- File serving with token headers.

**Acceptance Criteria**
- [ ] `AuthService` stores token securely (localStorage + memory).  
- [ ] `FileSystemService` uses `Authorization: Bearer` for private paths.  
- [ ] UI reflects auth state (header, lock icons, blocked actions).  
- [ ] Tests: unauthorized fetch returns 401/redirect flow.

**Subtasks**
- [ ] “Remember me” token persistence toggle.  
- [ ] Logout clears all sensitive caches.

**Depends On**: #16

**Suggested Branch**: `feature/issue-17-access-control`","type-feature, learning-security, component-files, priority-critical, backlog-import-2025-08",open,Milestone 3
B18 — Secure Session Management (Vanilla JS),"**Backlog ID**: B18

**Issue #18: Secure Session Management (Vanilla JS)**

**Description**
Client‑side session timer, idle timeout, clock drift checks, and token renewal UX (if implemented) with robust error handling.

**Learning Goals**
- Session hijacking/threat modeling basics.  
- Idle timeout and renewal patterns.  
- Defensive coding for network failures.

**Acceptance Criteria**
- [ ] Idle timer auto‑logout after N minutes (configurable).  
- [ ] Foreground renewal prompt when close to expiry.  
- [ ] All token errors produce safe, user‑friendly messages.  
- [ ] Unit tests for timers and edge cases.

**Subtasks**
- [ ] Optional: visibility‑based pause of idle timer.  
- [ ] Centralized error codes/messages.

**Depends On**: #16

**Suggested Branch**: `feature/issue-18-session-mgmt`","type-feature, learning-security, component-auth, priority-high, backlog-import-2025-08",open,Milestone 3
B19 — App Shell & Routing (Vanilla JS),"**Backlog ID**: B19

**Issue #19: App Shell & Routing (Vanilla JS)**

**Description**
Implement hash‑based router (`#/home`, `#/search`, `#/graph`, `#/private`) with view registration and 404 fallback.

**Learning Goals**
- SPA routing fundamentals without frameworks.  
- Title/meta updates and scroll restoration.  
- Guarded routes for auth.

**Acceptance Criteria**
- [ ] Router module with `register(route, view)` and `navigate()` API.  
- [ ] 404 page and not‑found analytics counter.  
- [ ] Per‑route title/meta; focus management on navigation.  
- [ ] Simple smoke tests for route transitions.

**Subtasks**
- [ ] Route guards integrate with `AuthService`.  
- [ ] Back/forward browser support.

**Depends On**: #8, #12

**Suggested Branch**: `feature/issue-19-routing`","type-feature, learning-frontend, component-ui, priority-critical, backlog-import-2025-08",open,Milestone 4
B20 — Global Styling System (BEM + CSS Utilities),"**Backlog ID**: B20

**Issue #20: Global Styling System (BEM + CSS Utilities)**

**Description**
Create CSS architecture: tokens (colors/spacing), resets, layout utilities, and responsive breakpoints using BEM.

**Learning Goals**
- Scalable CSS systems.  
- Dark/light readiness and theming.  
- Performance (avoid heavy selectors).

**Acceptance Criteria**
- [ ] `styles/main.css`, `styles/components.css`, `styles/responsive.css`.  
- [ ] CSS variables for color/spacing; optional dark tokens.  
- [ ] No inline styles; audit of naming consistency.  
- [ ] A11y: visible focus states and contrast checks.

**Subtasks**
- [ ] Print styles for PDFs/images.  
- [ ] Lint with stylelint (optional).

**Depends On**: #8

**Suggested Branch**: `feature/issue-20-styling`","type-feature, component-ui, priority-high, backlog-import-2025-08",open,Milestone 4
B21 — Accessibility & Keyboard Navigation,"**Backlog ID**: B21

**Issue #21: Accessibility & Keyboard Navigation**

**Description**
Add global a11y enhancements: skip links, focus traps, keyboard shortcuts, ARIA roles, and semantic headings.

**Learning Goals**
- Practical WCAG practices.  
- Keyboard-first navigation.  
- Screen reader testing basics.

**Acceptance Criteria**
- [ ] Skip‑to‑content link works across views.  
- [ ] Keyboard map documented; modals trap focus.  
- [ ] Landmarks and roles assigned; headings logical.  
- [ ] A11y smoke test doc with findings.

**Subtasks**
- [ ] Live region for async results.  
- [ ] Reduced motion preference respected.

**Depends On**: #8

**Suggested Branch**: `feature/issue-21-a11y`","type-feature, component-ui, priority-high, backlog-import-2025-08",open,Milestone 4
B22 — Error States & Empty States UX,"**Backlog ID**: B22

**Issue #22: Error States & Empty States UX**

**Description**
Define consistent patterns for network errors, empty results, and unknown routes with helpful recovery actions.

**Learning Goals**
- UX writing for errors.  
- Diagnostics exposure without leaking internals.  
- Testing unhappy paths.

**Acceptance Criteria**
- [ ] Error boundary wrapper for views.  
- [ ] Inline error banners with retry and diagnostics toggle.  
- [ ] Empty state illustrations/text; tracking of frequency.  
- [ ] Unit tests simulate network failures.

**Subtasks**
- [ ] Centralized error catalog.

**Depends On**: #7, #12

**Suggested Branch**: `feature/issue-22-error-empty`","type-feature, component-ui, priority-medium, backlog-import-2025-08",open,Milestone 4
B23 — Frontend Build Lite (Optional Minifier Only),"**Backlog ID**: B23

**Issue #23: Frontend Build Lite (Optional Minifier Only)**

**Description**
Add a tiny build step (esbuild/terser or Python) for minifying JS/CSS and cache‑busting via hashed filenames.

**Learning Goals**
- Build pipelines and asset hashing.  
- Cache control strategies for static hosting.

**Acceptance Criteria**
- [ ] Minify JS/CSS; copy assets to `dist/`.  
- [ ] Filename hashing + manifest mapping.  
- [ ] Updated deployment docs to serve `dist/`.

**Subtasks**
- [ ] Simple Node or Python script; no bundling required.

**Depends On**: #19, #20

**Suggested Branch**: `feature/issue-23-build-lite`","type-enhancement, component-ui, priority-low, backlog-import-2025-08",open,Milestone 4
B24 — Navigation Header & Footer Components,"**Backlog ID**: B24

**Issue #24: Navigation Header & Footer Components**

**Description**
Reusable header/footer with active route highlighting, auth indicator, and responsive menu.

**Learning Goals**
- Component reuse and state wiring.  
- Mobile nav patterns.  
- Semantic landmarks.

**Acceptance Criteria**
- [ ] Header with current route highlight; auth state icon/text.  
- [ ] Footer shows version/build date; links to docs.  
- [ ] Mobile menu expands/collapses via keyboard and touch.

**Subtasks**
- [ ] Add “skip to nav” link.

**Depends On**: #19, #20

**Suggested Branch**: `feature/issue-24-nav`","type-feature, component-ui, priority-medium, backlog-import-2025-08",open,Milestone 4
B25 — generate_metadata.py,"**Backlog ID**: B25

**Issue #25: generate_metadata.py**

**Description**
Scan content folders and produce baseline `.metadata.json` where missing; merge safely when present.

**Learning Goals**
- Filesystem traversal.  
- Idempotent scripts and dry‑run patterns.  
- Safe JSON writing/merging.

**Acceptance Criteria**
- [ ] Dry‑run prints intended changes; real run writes.  
- [ ] Never overwrites custom fields without explicit flag.  
- [ ] Unit tests on sample trees.

**Subtasks**
- [ ] Config for ignore/include patterns.

**Depends On**: #2

**Suggested Branch**: `feature/issue-25-generate-metadata`","type-feature, component-utilities, priority-medium, backlog-import-2025-08",open,Milestone 4
B26 — validate_connections.py,"**Backlog ID**: B26

**Issue #26: validate_connections.py**

**Description**
Validate that all `connections[].to` targets exist; report missing nodes, cycles (optional), and invalid strengths.

**Learning Goals**
- Data validation and reporting.  
- CI‑friendly exit codes.

**Acceptance Criteria**
- [ ] CLI outputs human‑readable summary + machine‑readable JSON.  
- [ ] Exit code 1 on invalid; 0 on success.  
- [ ] Integration note for CI job.

**Subtasks**
- [ ] Option to auto‑fix common mistakes (case, trailing slash).

**Depends On**: #10

**Suggested Branch**: `feature/issue-26-validate-connections`","type-feature, component-utilities, priority-medium, backlog-import-2025-08",open,Milestone 4
B27 — deploy.py,"**Backlog ID**: B27

**Issue #27: deploy.py**

**Description**
Automate build + publish to GitHub Pages/Netlify and ping backend health if used.

**Learning Goals**
- Deployment scripting and env injection.  
- Post‑deploy verification.

**Acceptance Criteria**
- [ ] Builds to `dist/`, publishes, verifies 200 on homepage.  
- [ ] Optional: backend healthcheck endpoint ping.  
- [ ] Rollback notes documented.

**Subtasks**
- [ ] Secrets/keys handled via env vars.

**Depends On**: #23, #39

**Suggested Branch**: `feature/issue-27-deploy`","type-feature, component-utilities, priority-medium, backlog-import-2025-08",open,Milestone 4
